0.40956531062052615;[0.5505792135178945, 0.6250931572427544, 0.6261616438569837, 0.8913511731230459, 0.9014758144344373, 0.8958835052904396, 0.7565726100530018, 0.12361428163891107];[0.92513, 0.38404, 0.5771, 1.2524, 0.70439, 2.75844, 1.89267, 2.57879, 1.67689, 0.61797, 0.016237, 4.13214, 0.41778, 0.32647, 0.24704, 50.0, 363.36149, 87.22258, 58.39103, 0.86252]
0.4875099258351347;[0.385099747583486, 0.5023976513242611, 0.5876577756341177, 0.49353234188531414, 0.8629466503507974, 0.9000215541317894, 0.6676836754304828, 0.15746338008495814];[1.24872, 1.30727, 0.82085, 1.78053, 0.41104, 1.45234, 0.84229, 0.04496, 1.9189, 0.15314, 0.001889, 4.78636, 0.41252, 0.27881, 0.2045, 50.0, 389.6033, 133.78619, 100.56972, -1.72669]
0.488672466198185;[0.6541585795512497, 0.13218524173950397, 0.6036218203866215, 0.941884865219101, 0.873446235970359, 0.9106236328977835, 0.6772157378435466, 0.13454590487858137];[1.57327, 1.54112, 0.37767, 0.55774, 0.43089, 1.12606, 0.22531, 0.23453, 1.42686, 0.16962, 0.020239000000000004, 5.97518, 0.77647, 0.86018, 0.36441, 50.0, 340.67077, 97.7456, 80.39101, -0.39236]
0.4465621386245499;[0.5184079868703589, 0.4118701800261729, 0.5982582205274378, 0.9073876072151211, 0.9603094762450199, 0.8150684243843472, 0.7542566315548022, 0.13318049408818622];[0.70801, 0.13843, 0.89559, 1.11444, 0.43478, 2.13432, 0.8042, 0.28691, 1.98567, 1.13175, 0.06181600000000001, 4.33098, 0.30541, 0.14362, 0.339, 50.0, 140.15859, 124.31048, 107.83073, -0.58898]
0.48094353939795603;[0.3402453637540891, 0.3863419553695632, 0.5513315533375104, 0.9690873297927319, 0.7192730176911737, 0.9469670258518865, 0.8249979132488382, 0.1490615207894928];[1.21973, 1.49826, 1.39604, 1.71419, 0.42079, 2.34603, 0.96242, 1.77581, 2.36819, 2.23549, 0.05848000000000001, 2.50937, 0.83053, 0.27886, 0.31735, 50.0, 228.83595, 200.6162, 68.83066, -1.77436]
0.549485039273871;[0.20579096658546303, 0.2141065493399582, 0.5087172591658617, 0.972027361680648, 0.6887362387815434, 0.9084057852669295, 0.7682414878596177, 0.12481651898995469];[1.76865, 1.83759, 1.83291, 1.83493, 0.676, 1.02788, 0.15431, 0.3959, 2.90767, 2.57779, 0.09002300000000002, 4.26, 0.01271, 0.33655, 0.48987, 50.0, 160.97659, 124.37576, 111.39277, 0.2857]
0.4092896350045172;[0.6444136694750051, 0.47912022772155505, 0.6306900118021201, 0.9072889639935492, 0.8983983235848035, 0.8631226635006648, 0.7886341474396663, 0.1493134338395975];[0.19776, 1.34916, 0.46796, 0.62445, 0.63864, 2.94327, 0.0973, 1.37992, 0.76737, 0.43024, 0.08326300000000002, 5.92647, 0.94812, 0.21892, 0.48408, 50.0, 109.94098, 52.23863, 52.1473, -1.13536]
0.45929922654993877;[0.6261104197215264, 0.23773000321700943, 0.6199655309045945, 0.9273866943019443, 0.9315604292273447, 0.8978216685339254, 0.7547135580605101, 0.13871691349154813];[0.12866, 0.84034, 0.63954, 1.48756, 0.68413, 1.01282, 0.19209, 0.81365, 1.23821, 0.76918, 0.08260400000000001, 4.46167, 0.24505, 0.13412, 0.11229, 50.0, 215.81105, 156.26682, 134.2111, -0.94786]
0.5806530507677851;[0.10993149974529759, 0.20228761964558606, 0.4856311695375376, 0.9881132196951344, 0.601701340739113, 0.7869057959839544, 0.7857110055853455, 0.1316628409239335];[1.54806, 0.36971, 1.7899, 0.94453, 0.62336, 1.03247, 0.59261, 0.31636, 1.50815, 1.40262, 0.045910000000000006, 3.91248, 0.76019, 0.4189, 0.49501, 50.0, 399.70018, 112.5766, 96.49787, 1.55582]
0.48101286422045153;[0.46081643517427473, 0.507555757039188, 0.5877839241427332, 0.5930618704778738, 0.8680811675563966, 0.6642068744335223, 0.6102424516832092, 0.1632351149181498];[0.8901, 1.4621, 0.96082, 0.98795, 0.7259, 1.63862, 0.00787, 0.8914, 2.77924, 0.1837, 0.009500000000000001, 5.52341, 0.75265, 0.2706, 0.49886, 50.0, 288.3164, 125.56918, 81.42328, -1.71645]
