10.729660,47.114811
10.769190,47.115688
10.808710,47.116562
10.848230,47.117432
10.887750,47.118301
10.927280,47.119160
10.966810,47.119968
10.730990,47.087841
10.770490,47.088711
10.809990,47.089581
10.849500,47.090450
10.889000,47.091320
10.928500,47.092190
10.968010,47.092991
10.732310,47.060860
10.771800,47.061729
10.811280,47.062599
10.850760,47.063469
10.890240,47.064339
10.929730,47.065201
10.969220,47.066010
10.733630,47.033878
10.773100,47.034752
10.812560,47.035622
10.852020,47.036491
10.891480,47.037361
10.930950,47.038231
10.970420,47.039028
10.734950,47.006901
10.774390,47.007771
10.813840,47.008640
10.853280,47.009510
10.892720,47.010380
10.932170,47.011238
10.971610,47.012039
10.736270,46.979919
10.775690,46.980789
10.815110,46.981659
10.854540,46.982529
10.893960,46.983391
10.933380,46.984261
10.972810,46.985062
10.737590,46.952950
10.776990,46.953819
10.816390,46.954681
10.855800,46.955551
10.895200,46.956421
10.934600,46.957279
10.974010,46.958080
10.738910,46.925968
10.778290,46.926830
10.817670,46.927700
10.857050,46.928570
10.896440,46.929440
10.935820,46.930302
10.975210,46.931099
10.740220,46.898991
10.779580,46.899860
10.818940,46.900719
10.858310,46.901588
10.897670,46.902458
10.937030,46.903320
10.976400,46.904121
10.741530,46.872009
10.780870,46.872879
10.820220,46.873741
10.859560,46.874611
10.898900,46.875469
10.938250,46.876339
10.977600,46.877140
10.742840,46.845032
10.782170,46.845901
10.821490,46.846760
10.860810,46.847630
10.900140,46.848492
10.939460,46.849361
10.978790,46.850151
