12.273380,47.058651
12.312880,47.059021
12.352370,47.059349
12.391870,47.059669
12.431370,47.060001
12.470870,47.060329
12.510370,47.060619
12.549870,47.060879
12.589370,47.061138
12.628870,47.061390
12.234440,47.031269
12.273920,47.031658
12.313390,47.032028
12.352870,47.032360
12.392350,47.032681
12.431830,47.033001
12.471310,47.033329
12.510790,47.033630
12.550270,47.033890
12.589750,47.034149
12.629230,47.034401
12.156090,47.003490
12.195540,47.003880
12.235000,47.004280
12.274460,47.004669
12.313910,47.005039
12.353370,47.005360
12.392830,47.005692
12.432290,47.006008
12.471740,47.006340
12.511200,47.006630
12.550660,47.006889
12.590120,47.007149
12.629580,47.007408
12.156690,46.976501
12.196120,46.976891
12.235560,46.977291
12.274990,46.977680
12.314430,46.978050
12.353870,46.978371
12.393300,46.978691
12.432740,46.979019
12.472180,46.979351
12.511620,46.979641
12.551060,46.979900
12.590500,46.980160
12.629940,46.980419
12.196700,46.949902
12.236120,46.950291
12.275530,46.950691
12.314950,46.951050
12.354360,46.951382
12.393780,46.951710
12.433200,46.952030
12.472620,46.952351
12.512040,46.952648
12.551460,46.952911
12.590880,46.953171
12.630300,46.953419
12.197280,46.922909
12.236670,46.923309
12.276070,46.923698
12.315460,46.924061
12.354860,46.924389
12.394260,46.924709
12.433660,46.925041
12.473050,46.925369
12.512450,46.925659
12.551850,46.925919
12.591250,46.926170
12.630650,46.926430
12.237230,46.896320
12.276600,46.896709
12.315980,46.897079
12.355360,46.897400
12.394730,46.897720
12.434110,46.898048
12.473490,46.898369
12.512870,46.898670
12.552250,46.898930
12.591630,46.899181
12.631010,46.899441
12.316490,46.870079
12.355850,46.870399
12.395210,46.870731
12.434570,46.871052
12.473930,46.871380
12.513280,46.871670
12.552650,46.871929
12.592000,46.872189
12.631370,46.872440
12.317010,46.843090
12.356350,46.843410
12.395690,46.843739
12.435020,46.844059
12.474360,46.844391
12.513700,46.844681
12.553040,46.844940
12.592380,46.845200
12.631720,46.845451
12.317520,46.816101
12.356840,46.816422
12.396160,46.816750
12.435480,46.817070
12.474800,46.817390
12.514120,46.817692
12.553440,46.817951
12.592760,46.818199
12.632080,46.818459
